Postal Code,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.81153000000010,-79.19552000000000
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.78564000000010,-79.15871000000000
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.765750000000000,-79.17520000000000
M1G,Scarborough,Woburn,43.768200000000000,-79.21761000000000
M1H,Scarborough,Cedarbrae,43.769690000000000,-79.23944000000000
M1J,Scarborough,Scarborough Village,43.74309000000010,-79.23526000000000
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.72861000000010,-79.26366999999990
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.714060000000100,-79.28412000000000
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.72360000000000,-79.23495999999990
M1N,Scarborough,"Birch Cliff, Cliffside West",43.69539000000000,-79.26194000000000
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.75998000000000,-79.26837000000000
M1R,Scarborough,"Wexford, Maryvale",43.750710000000000,-79.30056000000000
M1S,Scarborough,Agincourt,43.79394000000010,-79.26711000000000
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.784730000000000,-79.29937000000000
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.817810000000100,-79.28023999999990
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.80052000000010,-79.32073999999990
M1X,Scarborough,Upper Rouge,43.83422000000010,-79.21670000000000
M2H,North York,Hillcrest Village,43.802850000000000,-79.35621000000000
M2J,North York,"Fairview, Henry Farm, Oriole",43.780970000000000,-79.34781000000000
M2K,North York,Bayview Village,43.78102000000010,-79.38060000000000
M2L,North York,"York Mills, Silver Hills",43.757220000000100,-79.37974000000000
M2M,North York,"Willowdale, Newtonbrook",43.79135000000010,-79.41356000000000
M2N,North York,"Willowdale, Willowdale East",43.76714000000000,-79.40707000000000
M2P,North York,York Mills West,43.747870000000000,-79.40029000000000
M2R,North York,"Willowdale, Willowdale West",43.77991000000000,-79.44678000000000
M3A,North York,Parkwoods,43.75188000000000,-79.33036000000000
M3B,North York,Don Mills,43.74929000000000,-79.36169000000000
M3C,North York,Don Mills,43.72184000000000,-79.34340000000000
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.74809000000010,-79.44400999999990
M3J,North York,"Northwood Park, York University",43.76467000000010,-79.48718000000000
M3K,North York,Downsview,43.73903000000010,-79.46732000000000
M3L,North York,Downsview,43.741070000000000,-79.51080000000000
M3M,North York,Downsview,43.73355000000000,-79.49680000000000
M3N,North York,Downsview,43.75666000000010,-79.51972000000000
M4A,North York,Victoria Village,43.73042000000000,-79.31282000000000
M4B,East York,"Parkview Hill, Woodbine Gardens",43.707940000000100,-79.31159999999990
M4C,East York,Woodbine Heights,43.68970000000010,-79.30680000000000
